job_title,company,location,job_type,category,salary_min,salary_max,experience_required,publication_date,skills,education_level,company_size,benefits
Engineering Manager,DataInc,"San Francisco, CA",Remote,Technology,151082,291345,4,11/27/2025,"AWS, Agile, Machine Learning, Kubernetes, MongoDB, Ruby",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Engineering Manager,EnterpriseHub,"New York, NY",Remote,Technology,156891,280075,3,11/27/2025,"Java, Agile, Git, SQL, Ruby, Go",PhD,1-50 employees,"Dental, Vision, Annual Bonus"
Engineering Manager,StartupXYZ,"Seattle, WA",Part-time,Technology,152134,280310,4,11/27/2025,"AWS, Python, Kubernetes, Git",Associate Degree,1000+ employees,"Stock Options, Remote Work Stipend"
Lead Engineer,WebDynamics,"Seattle, WA",Full-time,Technology,151918,253988,7,11/27/2025,"Agile, Git, Docker, REST APIs, TypeScript",PhD,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Senior Software Engineer,DigitalWorks,"San Francisco, CA",Full-time,Technology,148141,252584,9,11/27/2025,"Agile, Ruby, Docker, Git, JavaScript",High School,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Senior Software Engineer,WebDynamics,"Seattle, WA",Part-time,Technology,147870,248059,8,11/27/2025,"CI/CD, Python, Kubernetes, JavaScript, SQL, Docker, Machine Learning",High School,201-500 employees,"Stock Options, Remote Work Stipend"
Senior Data Scientist,WebDynamics,"Seattle, WA",Part-time,Technology,149467,244158,11,11/27/2025,"Machine Learning, TypeScript, Node.js, Docker, Python, REST APIs, CI/CD",Associate Degree,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Lead Engineer,AI Solutions,"San Francisco, CA",Contract,Technology,133652,258933,11,11/27/2025,"Java, Python, Machine Learning",Associate Degree,501-1000 employees,"Health Insurance, 401(k), Unlimited PTO"
Lead Engineer,AI Solutions,"New York, NY",Full-time,Technology,138787,242901,5,11/27/2025,"TypeScript, Kubernetes, AWS, JavaScript, Go",Associate Degree,201-500 employees,"Health Insurance, 401(k), Unlimited PTO"
Project Manager,DataInc,"New York, NY",Full-time,Technology,133004,237154,2,11/27/2025,"TypeScript, Java, JavaScript, Kubernetes, Go",High School,501-1000 employees,"Stock Options, Remote Work Stipend"
Product Manager,EnterpriseHub,"San Francisco, CA",Contract,Technology,134354,233476,4,11/27/2025,"Machine Learning, MongoDB, Python, REST APIs, AWS, React, Node.js",Master's Degree,51-200 employees,"Dental, Vision, Annual Bonus"
Product Manager,EnterpriseHub,"London, UK",Part-time,Technology,133776,232759,5,11/27/2025,"JavaScript, Machine Learning, Kubernetes, TensorFlow",Unspecified,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Project Manager,TechCorp,"New York, NY",Remote,Technology,124814,235012,4,11/27/2025,"Java, CI/CD, TypeScript",Unspecified,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Product Manager,EnterpriseHub,"Seattle, WA",Part-time,Technology,130136,228915,4,11/27/2025,"AWS, React, Docker, Java, Kubernetes",PhD,501-1000 employees,"Stock Options, Remote Work Stipend"
Engineering Manager,DigitalWorks,"Denver, CO",Part-time,Technology,124285,232235,3,11/27/2025,"AWS, Machine Learning, SQL, Go, TypeScript",Associate Degree,51-200 employees,"Stock Options, Remote Work Stipend"
Engineering Manager,AI Solutions,"Boston, MA",Part-time,Technology,112849,233748,2,11/27/2025,"AWS, Go, Machine Learning, Git, Ruby",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
Engineering Manager,DataInc,"Chicago, IL",Remote,Technology,112205,224750,3,11/27/2025,"Go, SQL, AWS, Java, React",PhD,1000+ employees,"Dental, Vision, Annual Bonus"
Engineering Manager,CloudSystems,"Atlanta, GA",Contract,Technology,125001,210672,3,11/27/2025,"Docker, Agile, TensorFlow, AWS, Python, CI/CD",Unspecified,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Technical Lead,WebDynamics,"San Francisco, CA",Contract,Technology,125359,209806,11,11/27/2025,"Node.js, Agile, Java",High School,201-500 employees,"Stock Options, Remote Work Stipend"
Engineering Manager,EnterpriseHub,"Denver, CO",Remote,Technology,116663,216465,2,11/27/2025,"React, REST APIs, Java, Docker, TypeScript, Machine Learning",Master's Degree,201-500 employees,"Dental, Vision, Annual Bonus"
Engineering Manager,DataInc,"Austin, TX",Remote,Technology,111856,214647,3,11/27/2025,"TensorFlow, CI/CD, Python, TypeScript, Java, Go, SQL",Associate Degree,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Senior Software Engineer,DigitalWorks,"Denver, CO",Full-time,Technology,115867,203905,9,11/27/2025,"Docker, MongoDB, REST APIs, Go, Python, Git",Associate Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Senior Software Engineer,EnterpriseHub,"Boston, MA",Contract,Technology,119378,199930,9,11/27/2025,"Python, TypeScript, Node.js, TensorFlow",High School,501-1000 employees,"Stock Options, Remote Work Stipend"
Senior Data Scientist,CloudSystems,"Denver, CO",Full-time,Technology,119028,200044,6,11/27/2025,"Ruby, React, Node.js",High School,51-200 employees,"Health Insurance, 401(k), Unlimited PTO"
Lead Engineer,TechCorp,"Berlin, Germany",Part-time,Technology,114184,204087,9,11/27/2025,"JavaScript, Java, MongoDB",Bachelor's Degree,501-1000 employees,"Dental, Vision, Annual Bonus"
Senior Data Scientist,CloudSystems,"Chicago, IL",Contract,Technology,118237,197803,5,11/27/2025,"SQL, Kubernetes, React, Machine Learning, Python, Agile, Java",Bachelor's Degree,1-50 employees,"Stock Options, Remote Work Stipend"
Lead Engineer,DigitalWorks,"Boston, MA",Contract,Technology,115759,199751,12,11/27/2025,"Git, AWS, JavaScript, Machine Learning, Python, CI/CD",Master's Degree,1-50 employees,"Health Insurance, 401(k), Unlimited PTO"
Technical Lead,DigitalWorks,"New York, NY",Part-time,Technology,108456,206849,11,11/27/2025,"TypeScript, Python, Machine Learning, JavaScript, React",High School,1000+ employees,"Health Insurance, 401(k), Unlimited PTO"
Senior Data Scientist,EnterpriseHub,Remote,Contract,Technology,115733,197147,11,11/27/2025,"Git, Java, CI/CD, REST APIs, Python, Kubernetes, Go",Bachelor's Degree,201-500 employees,"Dental, Vision, Annual Bonus"
